,Brand_Name,Variant,Price,Manufacturing_Year,Fuel_type,Kms_run,Engine,Owner,Transmission,Mileage
3422,2017 Honda Jazz,1.2 V AT i VTEC,"7,40,000",2017,Petrol,"33,873 Kms",1199 cc,1st Owner,DL7C,Comprehensive
3423,2017 Hyundai i20,Asta Option,"5,69,000",2016,Petrol,"50,024 Kms",1197 cc,1st Owner,Manual,22.54 kmpl
3424,2017 Hyundai i20,Magna 1.4 CRDi,"5,44,500",2016,Diesel,"64,390 Kms",1396 cc,1st Owner,Automatic,14.28 kmpl
3425,2015 Toyota Corolla Altis,VL AT,"9,36,500",2015,Petrol,"43,241 Kms",1798 cc,1st Owner,Manual,16.2 kmpl
3426,2018 Volkswagen Polo,1.2 MPI Comfortline,"4,30,500",2017,Petrol,"40,750 Kms",1199 cc,1st Owner,Automatic,22 kmpl
3427,2018 Maruti Swift,AMT ZXI BSIV,"6,65,871",2018,Petrol,"47,393 Kms",1197 cc,1st Owner,Manual,24.3 kmpl
3428,2019 Maruti Vitara Brezza,ZDi,"8,42,500",2019,Diesel,"46,244 Kms",1248 cc,1st Owner,Manual,17.4 kmpl
3429,2015 Honda City,i VTEC V,"5,41,681",2015,Petrol,"78,296 Kms",1497 cc,2nd Owner,UP14,Comprehensive
3430,2011 Hyundai i10,Sportz 1.2,"2,51,286",2011,Petrol,"38,270 Kms",1197 cc,2nd Owner,Manual,22.7 kmpl
3431,2020 Datsun RediGO,A,"2,70,000",2019,Petrol,"15,598 Kms",799 cc,1st Owner,Manual,17 kmpl
3432,2018 Hyundai Verna,VTVT 1.6 SX,"8,91,726",2018,Petrol,"8,742 Kms",1591 cc,1st Owner,Manual,22.32 kmpl
3433,2013 Hyundai Verna,1.6 SX,"4,14,000",2013,Diesel,"69,239 Kms",1582 cc,1st Owner,Automatic,16.95 kmpl
3434,2012 Hyundai i10,Sportz AT,"3,26,000",2012,Petrol,"64,543 Kms",1197 cc,1st Owner,Manual,24 kmpl
3435,2017 Hyundai Grand i10,1.2 CRDi Magna,"4,12,206",2017,Diesel,"62,547 Kms",1186 cc,1st Owner,Manual,23.5 kmpl
3436,2013 Hyundai Verna,1.4 EX,"4,25,000",2013,Diesel,"66,997 Kms",1396 cc,1st Owner,Automatic,18 kmpl
3437,2015 Honda City,i VTEC CVT VX,"6,90,772",2015,Petrol,"79,502 Kms",1497 cc,1st Owner,Automatic,23.84 kmpl
3438,2018 Tata Tiago,1.2 Revotron XZA,"4,67,826",2018,Petrol,"43,855 Kms",1199 cc,1st Owner,Manual,22 kmpl
3439,2015 Maruti Swift,VXI 2018,"4,90,000",2015,Petrol,"67,565 Kms",1197 cc,1st Owner,Manual,24 kmpl
